sku,proposed_name,image_class,source_image_url,local_image_path,notes
BAVARIA-BAVARIYA-SVETLOE-450-GLASS,"Пиво безалкогольное Светлое, 0,45 л, стекло",exact-site,https://www.bavaria-group.ru/files/beer_items/52_1740991151.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-svetloe-0-45-l-steklo.jpg,
BAVARIA-BAVARIYA-SVETLOE-450-CAN,"Пиво безалкогольное Светлое, 0,45 л, банка",none,,,Для Gallagher/новых банок PDF-extract изображений недоступен без файла
BAVARIA-BAVARIYA-ELF-450-GLASS,"Пиво безалкогольное Эльф, 0,45 л, стекло",exact-site,https://www.bavaria-group.ru/files/beer_items/55_1740991309.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-elf-0-45-l-steklo.jpg,
BAVARIA-BAVARIYA-ELF-450-CAN,"Пиво безалкогольное Эльф, 0,45 л, банка",none,,,Для Gallagher/новых банок PDF-extract изображений недоступен без файла
BAVARIA-BAVARIYA-GALLAGHER-450-GLASS,"Пиво безалкогольное Gallagher, 0,45 л, стекло",none,,,Для Gallagher/новых банок PDF-extract изображений недоступен без файла
BAVARIA-BAVARIYA-GALLAGHER-450-CAN,"Пиво безалкогольное Gallagher, 0,45 л, банка",none,,,Для Gallagher/новых банок PDF-extract изображений недоступен без файла
BAVARIA-BAVARIYA-PREMIUM-GRUSHA-500-GLASS,"Напиток газированный «Бавария Premium» Груша, 0,5 л, стекло",shared-line-image,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,"Линейное изображение Premium, не exact SKU"
BAVARIA-BAVARIYA-PREMIUM-GRUSHA-1200-PET,"Напиток газированный «Бавария Premium» Груша, 1,2 л, ПЭТ",shared-line-image,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,"Линейное изображение Premium, не exact SKU"
BAVARIA-BAVARIYA-PREMIUM-GRANAT-500-GLASS,"Напиток газированный «Бавария Premium» Гранат, 0,5 л, стекло",shared-line-image,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,"Линейное изображение Premium, не exact SKU"
BAVARIA-BAVARIYA-PREMIUM-GRANAT-1200-PET,"Напиток газированный «Бавария Premium» Гранат, 1,2 л, ПЭТ",shared-line-image,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,"Линейное изображение Premium, не exact SKU"
BAVARIA-BAVARIYA-PREMIUM-APELSIN-500-GLASS,"Напиток газированный «Бавария Premium» Апельсин, 0,5 л, стекло",shared-line-image,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,"Линейное изображение Premium, не exact SKU"
BAVARIA-BAVARIYA-PREMIUM-TARHUN-500-GLASS,"Напиток газированный «Бавария Premium» Тархун, 0,5 л, стекло",shared-line-image,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,"Линейное изображение Premium, не exact SKU"
BAVARIA-BAVARIYA-PREMIUM-TARHUN-1200-PET,"Напиток газированный «Бавария Premium» Тархун, 1,2 л, ПЭТ",shared-line-image,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,"Линейное изображение Premium, не exact SKU"
BAVARIA-BAVARIYA-PREMIUM-FEYHOA-500-GLASS,"Напиток газированный «Бавария Premium» Фейхоа, 0,5 л, стекло",shared-line-image,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,"Линейное изображение Premium, не exact SKU"
BAVARIA-BAVARIYA-PREMIUM-FEYHOA-1200-PET,"Напиток газированный «Бавария Premium» Фейхоа, 1,2 л, ПЭТ",shared-line-image,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,"Линейное изображение Premium, не exact SKU"
BAVARIA-BAVARIYA-PREMIUM-VISHNYA-500-GLASS,"Напиток газированный «Бавария Premium» Вишня, 0,5 л, стекло",shared-line-image,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,"Линейное изображение Premium, не exact SKU"
BAVARIA-BAVARIYA-PREMIUM-VISHNYA-1200-PET,"Напиток газированный «Бавария Premium» Вишня, 1,2 л, ПЭТ",shared-line-image,https://www.bavaria-group.ru/files/beer_items/126_1772458839.png,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-1-2-l-pet.png,"Линейное изображение Premium, не exact SKU"
BAVARIA-BAVARIYA-TARHUN-1500-PET,"Напиток газированный Бавария Тархун, 1,5 л, ПЭТ",shared-line-image,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-pet.jpg,
BAVARIA-BAVARIYA-TARHUN-500-PET,"Напиток газированный Бавария Тархун, 0,5 л, ПЭТ",shared-line-image,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-pet.jpg,
BAVARIA-BAVARIYA-GRUSHA-1500-PET,"Напиток газированный Бавария Груша, 1,5 л, ПЭТ",shared-line-image,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-pet.jpg,
BAVARIA-BAVARIYA-GRUSHA-500-PET,"Напиток газированный Бавария Груша, 0,5 л, ПЭТ",shared-line-image,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-pet.jpg,
BAVARIA-BAVARIYA-PITAHAYYA-1500-PET,"Напиток газированный Бавария Питахайя, 1,5 л, ПЭТ",shared-line-image,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-pet.jpg,
BAVARIA-BAVARIYA-APELSIN-1500-PET,"Напиток газированный Бавария Апельсин, 1,5 л, ПЭТ",shared-line-image,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-pet.jpg,
BAVARIA-BAVARIYA-KOLA-1500-PET,"Напиток газированный Бавария Кола, 1,5 л, ПЭТ",shared-line-image,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-pet.jpg,
BAVARIA-BAVARIYA-KOLA-500-PET,"Напиток газированный Бавария Кола, 0,5 л, ПЭТ",shared-line-image,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-pet.jpg,
BAVARIA-BAVARIYA-MOHITO-1500-PET,"Напиток газированный Бавария Мохито, 1,5 л, ПЭТ",shared-line-image,https://www.bavaria-group.ru/files/beer_items/97_1730364236.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-bavariya-grusha-0-5-l-pet.jpg,
BAVARIA-LIMNADA-BARBARIS-500-PET,"Напиток газированный Лимнада Барбарис, 0,5 л, ПЭТ",shared-line-image,https://www.bavaria-group.ru/files/beer_items/68_1718376439.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-limnada-krem-soda-0-5-l-pet.jpg,
BAVARIA-LIMNADA-BARBARIS-1500-PET,"Напиток газированный Лимнада Барбарис, 1,5 л, ПЭТ",shared-line-image,https://www.bavaria-group.ru/files/beer_items/68_1718376439.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-limnada-krem-soda-0-5-l-pet.jpg,
BAVARIA-LIMNADA-DYUSHES-500-PET,"Напиток газированный Лимнада Дюшес, 0,5 л, ПЭТ",shared-line-image,https://www.bavaria-group.ru/files/beer_items/68_1718376439.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-limnada-krem-soda-0-5-l-pet.jpg,
BAVARIA-LIMNADA-DYUSHES-1500-PET,"Напиток газированный Лимнада Дюшес, 1,5 л, ПЭТ",shared-line-image,https://www.bavaria-group.ru/files/beer_items/68_1718376439.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-limnada-krem-soda-0-5-l-pet.jpg,
BAVARIA-LIMNADA-ANANAS-1500-PET,"Напиток газированный Лимнада Ананас, 1,5 л, ПЭТ",shared-line-image,https://www.bavaria-group.ru/files/beer_items/68_1718376439.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-limnada-krem-soda-0-5-l-pet.jpg,
BAVARIA-LIMNADA-KREM-SODA-500-PET,"Напиток газированный Лимнада Крем-сода, 0,5 л, ПЭТ",shared-line-image,https://www.bavaria-group.ru/files/beer_items/68_1718376439.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-limnada-krem-soda-0-5-l-pet.jpg,
BAVARIA-LIMNADA-KREM-SODA-1500-PET,"Напиток газированный Лимнада Крем-сода, 1,5 л, ПЭТ",shared-line-image,https://www.bavaria-group.ru/files/beer_items/68_1718376439.jpg,/workspace/artifacts/bavaria-import/2026-07-31T10-52-18-371Z/images/bavaria-limnada-krem-soda-0-5-l-pet.jpg,
BAVARIA-DOBRETSOV-KVASS-1200-PET,"Квас Добрецовъ, 1,2 л, ПЭТ",none,,,Нужно exact изображение упаковки; сайт имел другие объёмы
BAVARIA-DOBRETSOV-KVASS-450-CAN,"Квас Добрецовъ, 0,45 л, банка",none,,,Нужно exact изображение упаковки; сайт имел другие объёмы
